# wl,R,G,B
4.000000000000000000e+02,4.844729229807853699e-02,5.045029520988464355e-02,7.649018615484237671e-02
4.010000000000000000e+02,5.016360431909561157e-02,5.238201469182968140e-02,9.845492243766784668e-02
4.020000000000000000e+02,5.187991261482238770e-02,5.431373417377471924e-02,1.204196587204933167e-01
4.030000000000000000e+02,5.359622463583946228e-02,5.624545738101005554e-02,1.423843950033187866e-01
4.040000000000000000e+02,5.531253665685653687e-02,5.817717686295509338e-02,1.643491238355636597e-01
4.050000000000000000e+02,5.702884867787361145e-02,6.010890007019042969e-02,1.863138526678085327e-01
4.060000000000000000e+02,5.874516069889068604e-02,6.204061955213546753e-02,2.082785964012145996e-01
4.070000000000000000e+02,6.046146899461746216e-02,6.397233903408050537e-02,2.302433252334594727e-01
4.080000000000000000e+02,6.217778101563453674e-02,6.590405851602554321e-02,2.522080540657043457e-01
4.090000000000000000e+02,6.389409303665161133e-02,6.783578544855117798e-02,2.741727828979492188e-01
4.100000000000000000e+02,6.561040133237838745e-02,6.976750493049621582e-02,2.961375117301940918e-01
4.110000000000000000e+02,6.644143909215927124e-02,7.211328297853469849e-02,3.185415267944335938e-01
4.120000000000000000e+02,6.727247685194015503e-02,7.445906847715377808e-02,3.409455418586730957e-01
4.130000000000000000e+02,6.810351461172103882e-02,7.680484652519226074e-02,3.633495271205902100e-01
4.140000000000000000e+02,6.893455237150192261e-02,7.915063202381134033e-02,3.857535421848297119e-01
4.150000000000000000e+02,6.976559013128280640e-02,8.149641007184982300e-02,4.081575572490692139e-01
4.160000000000000000e+02,7.059662789106369019e-02,8.384218811988830566e-02,4.305615425109863281e-01
4.170000000000000000e+02,7.142765820026397705e-02,8.618797361850738525e-02,4.529655575752258301e-01
4.180000000000000000e+02,7.225869596004486084e-02,8.853375166654586792e-02,4.753695726394653320e-01
4.190000000000000000e+02,7.308973371982574463e-02,9.087953716516494751e-02,4.977735579013824463e-01
4.200000000000000000e+02,7.392077147960662842e-02,9.322531521320343018e-02,5.201775431632995605e-01
4.210000000000000000e+02,7.341963797807693481e-02,9.557215124368667603e-02,5.362371206283569336e-01
4.220000000000000000e+02,7.291851192712783813e-02,9.791899472475051880e-02,5.522966980934143066e-01
