Wl	R
250	0.978
251	0.978
252	0.979
253	0.979
254	0.979
255	0.981
256	0.981
257	0.981
258	0.981
259	0.983
260	0.983
261	0.983
262	0.984
263	0.985
264	0.986
265	0.986
266	0.986
267	0.987
268	0.989
269	0.989
270	0.990
271	0.990
272	0.991
273	0.992
274	0.992
275	0.993
276	0.993
277	0.994
278	0.995
279	0.995
280	0.995
281	0.996
282	0.996
283	0.997
284	0.998
285	0.998
286	0.997
287	0.997
288	0.999
289	1.000
290	0.999
291	0.999
292	0.999
293	1.000
294	1.000
295	1.000
296	1.000
297	1.000
298	1.000
299	1.000
300	1.001
301	1.001
302	1.000
303	1.001
304	1.000
305	1.001
306	1.001
307	0.999
308	0.999
309	0.999
310	0.999
311	0.998
312	0.997
313	0.998
314	0.998
315	0.997
316	0.995
317	0.995
318	0.995
319	0.994
320	0.993
321	0.993
322	0.991
323	0.992
324	0.992
325	0.991
326	0.990
327	0.990
328	0.989
329	0.989
330	0.989
331	0.988
332	0.989
333	0.988
334	0.988
335	0.989
336	0.989
337	0.989
338	0.989
339	0.989
340	0.989
341	0.988
342	0.989
343	0.988
344	0.988
345	0.989
346	0.989
347	0.989
348	0.989
349	0.989
350	0.989
351	0.989
352	0.989
353	0.988
354	0.989
355	0.989
356	0.988
357	0.988
358	0.987
359	0.988
360	0.988
361	0.988
362	0.988
363	0.988
364	0.987
365	0.989
366	0.989
367	0.989
368	0.989
369	0.989
370	0.989
371	0.989
372	0.988
373	0.989
374	0.989
375	0.988
376	0.988
377	0.988
378	0.988
379	0.987
380	0.987
381	0.988
382	0.987
383	0.987
384	0.987
385	0.988
386	0.987
387	0.987
388	0.987
389	0.988
390	0.987
391	0.987
392	0.987
393	0.987
394	0.987
395	0.988
396	0.988
397	0.988
398	0.988
399	0.988
400	0.988
401	0.988
402	0.988
403	0.987
404	0.987
405	0.988
406	0.988
407	0.988
408	0.987
409	0.987
410	0.988
411	0.987
412	0.987
413	0.987
414	0.988
415	0.987
416	0.988
417	0.987
418	0.987
419	0.987
420	0.987
421	0.987
422	0.987
423	0.987
424	0.988
425	0.987
426	0.987
427	0.987
428	0.987
429	0.987
430	0.987
431	0.986
432	0.987
433	0.986
434	0.987
435	0.988
436	0.988
437	0.987
438	0.987
439	0.987
440	0.987
441	0.987
442	0.987
443	0.987
444	0.987
445	0.987
446	0.987
447	0.988
448	0.987
449	0.987
450	0.988
451	0.987
452	0.987
453	0.987
454	0.987
455	0.987
456	0.988
457	0.988
458	0.987
459	0.987
460	0.988
461	0.987
462	0.987
463	0.987
464	0.987
465	0.987
466	0.987
467	0.987
468	0.987
469	0.987
470	0.987
471	0.987
472	0.987
473	0.987
474	0.988
475	0.988
476	0.988
477	0.989
478	0.988
479	0.988
480	0.988
481	0.988
482	0.987
483	0.988
484	0.988
485	0.988
486	0.989
487	0.989
488	0.988
489	0.988
490	0.988
491	0.988
492	0.988
493	0.988
494	0.987
495	0.988
496	0.988
497	0.988
498	0.989
499	0.988
500	0.988
501	0.988
502	0.988
503	0.988
504	0.988
505	0.988
506	0.988
507	0.988
508	0.988
509	0.988
510	0.988
511	0.988
512	0.988
513	0.988
514	0.988
515	0.988
516	0.988
517	0.988
518	0.988
519	0.988
520	0.988
521	0.988
522	0.988
523	0.988
524	0.988
525	0.988
526	0.988
527	0.987
528	0.987
529	0.988
530	0.988
531	0.988
532	0.988
533	0.988
534	0.988
535	0.988
536	0.987
537	0.988
538	0.987
539	0.988
540	0.987
541	0.988
542	0.988
543	0.988
544	0.988
545	0.987
546	0.987
547	0.988
548	0.988
549	0.988
550	0.988
551	0.988
552	0.987
553	0.987
554	0.987
555	0.988
556	0.988
557	0.988
558	0.987
559	0.988
560	0.988
561	0.988
562	0.988
563	0.988
564	0.988
565	0.988
566	0.987
567	0.988
568	0.988
569	0.988
570	0.987
571	0.987
572	0.988
573	0.988
574	0.988
575	0.987
576	0.988
577	0.988
578	0.988
579	0.988
580	0.988
581	0.987
582	0.987
583	0.988
584	0.988
585	0.988
586	0.988
587	0.988
588	0.988
589	0.988
590	0.988
591	0.988
592	0.988
593	0.988
594	0.988
595	0.988
596	0.988
597	0.988
598	0.988
599	0.988
600	0.988
601	0.988
602	0.988
603	0.988
604	0.988
605	0.988
606	0.988
607	0.988
608	0.988
609	0.988
610	0.988
611	0.988
612	0.988
613	0.988
614	0.988
615	0.988
616	0.988
617	0.988
618	0.988
619	0.987
